Id,year,bpm,nrgy,dnce,live,val,dur,acous,spch,dB,pop
177,2018,131,80,71,8,94,319,7,3,-7,62
178,1975,133,55,66,24,96,173,14,3,-12,62
179,2005,99,64,78,10,50,247,0,16,-8,73
180,1971,135,92,69,8,23,511,30,6,-6,65
181,2009,130,86,87,13,40,251,13,7,-6,68
182,1967,112,44,67,13,70,400,78,4,-11,46
183,1977,81,50,69,26,48,122,68,12,-7,79
184,1999,130,53,47,11,15,257,59,3,-6,61
185,2012,127,51,84,3,52,238,9,5,-11,57
186,1968,98,42,54,19,54,128,63,3,-7,61
187,1971,76,26,55,9,17,188,91,3,-12,77
188,2003,96,68,84,5,89,283,10,21,-6,60
189,2014,120,67,75,28,63,200,6,12,-7,63
190,1997,121,60,73,60,94,198,37,4,-10,63
191,1975,138,75,75,47,83,213,30,3,-7,72
192,1959,72,43,37,13,68,158,52,3,-8,48
193,2019,90,57,59,11,51,226,44,4,-5,32
194,1990,142,85,70,19,95,221,38,3,-7,56
195,2000,138,89,80,3,97,202,1,4,-7,73
196,1969,114,77,68,17,96,160,27,4,-12,36
197,2008,82,47,70,9,57,229,25,7,-8,77
198,1969,63,13,53,24,58,204,61,3,-16,78
199,1971,88,22,32,25,7,326,82,4,-13,65
200,1972,125,63,72,13,83,187,40,6,-11,73
201,2012,86,68,63,12,75,193,1,9,-6,73
202,1948,177,34,42,72,78,123,86,4,-11,62
203,2014,118,64,54,24,75,242,14,9,-7,60
204,2009,130,30,96,8,80,312,2,13,-6,60
205,2008,118,73,73,7,51,285,17,33,-3,79
206,2008,120,52,76,11,11,270,5,3,-8,67
207,1989,113,42,76,4,49,304,2,3,-13,72
208,1976,101,79,52,24,74,274,85,3,-10,56
209,1984,140,59,38,12,34,243,5,3,-7,76
210,1974,148,95,45,9,65,169,40,5,-5,66
211,1979,107,68,72,5,51,276,7,4,-9,55
212,2008,131,71,55,14,51,200,6,3,-5,57
213,1995,131,87,78,15,88,295,14,3,-4,66
214,2008,168,79,70,8,93,258,10,4,-6,64
215,1976,122,87,65,13,80,242,9,11,-6,64
216,2016,90,27,53,27,72,149,89,3,-8,33
217,1999,115,77,69,7,43,224,1,3,-6,58
218,1975,129,37,43,32,19,278,37,3,-10,68
219,1995,86,16,42,18,46,156,92,5,-16,37
220,1989,92,11,36,20,23,154,97,3,-15,38
221,2011,113,29,49,12,29,118,86,3,-10,40
222,2007,129,86,70,10,64,213,59,5,-4,71
223,1965,116,73,48,16,48,193,81,3,-10,41
224,1975,102,83,51,16,57,236,11,4,-6,58
225,1971,93,39,73,20,96,116,84,4,-12,49
226,1993,97,9,37,11,21,145,93,4,-17,55
227,1970,128,67,72,30,96,241,24,4,-8,54
228,1997,117,92,76,37,88,206,10,4,-6,65
229,1985,114,62,68,35,85,226,46,3,-14,66
230,2005,138,42,21,11,12,296,16,3,-9,81
231,1984,139,83,51,7,77,216,2,4,-6,80
232,2010,87,46,57,18,86,138,61,5,-9,31
233,1983,122,65,57,9,40,237,1,3,-7,70
234,1976,107,73,55,24,91,242,4,3,-7,61
235,2002,146,44,56,11,21,310,73,2,-7,83
236,1985,115,76,71,8,96,229,8,5,-12,64
237,1995,80,63,64,40,42,242,4,5,-6,54
238,2015,129,70,64,10,72,157,40,5,-10,62
239,1998,82,51,41,93,30,264,70,3,-10,56
240,1973,133,67,67,50,78,323,26,5,-8,65
241,1986,109,84,78,14,83,223,40,5,-9,67
242,2007,104,72,62,41,49,312,1,15,-8,80
243,1962,146,75,20,38,63,195,0,4,-7,45
244,1986,142,43,45,6,39,232,57,4,-13,64
245,2005,134,48,68,30,23,215,60,4,-7,54
246,2013,123,85,64,5,79,247,2,3,-8,70
247,2003,110,65,80,4,82,215,5,4,-7,67
248,2017,153,45,49,9,17,296,76,3,-9,61
249,2017,99,79,39,38,38,215,19,4,-5,60
250,1990,78,10,51,10,30,136,86,3,-18,54
251,1970,136,33,50,10,40,221,59,3,-11,74
252,2000,137,21,24,20,14,166,65,3,-17,33
253,2012,142,38,65,13,69,146,43,3,-8,27
254,1978,89,68,33,34,42,256,3,5,-8,67
255,2002,86,75,56,64,49,324,1,32,-4,56
256,1975,131,84,73,6,78,275,15,3,-9,75
257,2008,94,70,63,8,49,261,14,2,-5,68
258,1974,117,65,54,13,61,180,39,5,-6,51
259,2017,124,78,58,8,56,204,51,6,-7,53
260,1999,130,92,75,7,66,244,1,3,-7,40
261,1993,99,47,75,22,57,223,17,4,-14,64
262,2009,107,87,41,8,82,206,20,9,-4,68
263,1967,173,7,25,10,9,246,98,3,-14,47
264,1982,93,37,67,5,73,296,26,3,-18,83
265,1989,99,42,72,57,60,176,62,3,-13,59
266,2015,93,62,62,25,86,120,55,4,-7,27
267,1991,174,90,41,19,67,273,43,3,-8,61
268,1971,132,39,64,9,21,172,28,8,-13,46
269,1972,79,34,37,10,45,187,74,3,-13,69
270,2019,108,58,74,18,94,265,19,3,-9,78
271,1965,95,99,37,9,51,163,38,8,-1,59
272,1996,95,53,81,12,62,294,34,19,-12,46
273,1970,143,40,44,11,41,243,63,3,-8,79
274,1969,121,92,48,7,50,400,58,8,-6,41
275,1969,124,72,54,26,47,181,2,4,-9,69
276,1996,95,83,72,16,61,213,1,11,-5,72
277,1995,102,73,67,12,80,243,14,4,-8,70
278,2008,123,67,84,5,54,267,3,6,-6,76
279,2005,144,91,62,34,69,252,5,4,-3,71
280,1978,91,90,55,29,46,216,4,7,-7,68
281,1961,122,78,79,18,97,148,73,3,-5,68
282,1963,117,66,66,14,67,146,63,4,-8,59
283,2001,140,98,64,11,38,221,3,4,-7,63
284,1986,123,96,54,34,81,223,7,5,-3,80
285,1992,165,60,31,21,16,394,10,3,-6,73
286,1987,62,39,46,7,25,278,63,3,-12,67
287,2004,96,80,86,8,75,193,33,6,-6,76
288,1969,165,38,53,9,19,260,3,4,-12,79
289,2011,79,14,37,12,36,154,95,4,-15,39
290,1986,108,68,73,31,68,242,27,4,-11,60
291,1979,128,85,77,7,87,271,21,4,-6,78
292,1996,136,93,68,70,61,211,32,12,-6,64
293,2017,97,67,65,17,83,150,66,8,-9,42
294,1985,109,60,82,9,55,246,13,3,-9,76
295,1975,71,40,41,30,22,354,27,5,-10,84
296,1967,90,31,51,13,29,178,70,3,-14,59
297,1991,123,36,74,12,86,143,67,3,-12,55
298,1963,159,85,55,11,97,149,66,4,-6,71
299,2019,125,84,89,5,72,320,1,7,-9,46
300,1980,151,43,63,11,95,264,23,4,-16,67
301,2004,95,58,66,12,56,257,24,9,-9,76
302,2011,139,73,62,36,81,239,3,3,-8,67
303,2001,99,70,69,16,48,214,22,3,-6,76
304,2009,91,75,71,17,20,182,17,7,-6,74
305,1965,178,73,53,11,80,303,26,7,-8,52
306,1992,123,88,64,25,33,314,1,7,-8,56
307,2010,84,39,45,13,39,144,91,3,-9,32
308,1985,111,60,61,22,47,252,15,3,-11,68
309,1969,97,16,62,14,33,275,91,3,-15,58
310,2003,94,69,84,13,83,273,10,18,-3,75
311,1983,117,81,80,22,93,338,20,4,-5,46
312,2010,131,34,57,35,89,142,82,3,-14,30
313,1968,110,58,55,4,46,298,19,3,-13,73
314,1973,177,42,44,19,39,199,7,8,-10,53
315,2014,97,31,37,27,10,171,69,3,-10,31
316,1993,106,16,59,11,47,129,88,3,-18,39
317,1967,127,56,61,12,56,167,58,7,-10,51
318,1985,120,24,68,7,17,256,51,3,-16,66
319,1975,125,71,42,29,58,202,25,3,-6,59
320,1978,129,72,76,35,92,240,13,3,-11,61
321,1998,120,30,67,15,57,165,52,3,-13,46
322,2006,129,58,91,13,83,292,6,32,-8,63
323,2008,92,88,67,4,75,299,51,4,-5,50
324,1976,109,55,68,14,95,199,6,3,-15,68
325,1972,100,45,49,54,55,254,17,3,-10,73
326,1974,126,69,64,28,46,275,21,5,-16,74
327,1973,127,64,68,21,99,152,30,6,-12,44
328,2005,124,45,73,11,84,146,20,6,-12,59
329,1983,133,65,71,23,50,254,17,4,-5,63
330,1993,133,100,70,12,39,257,7,4,-8,69
331,2012,137,36,27,25,28,165,64,4,-15,26
332,2000,105,66,95,5,76,284,3,6,-4,80
333,1998,93,71,70,32,76,295,54,4,-7,66
334,1977,109,49,51,9,49,167,36,3,-9,49
335,2012,121,60,50,49,81,182,26,4,-10,51
336,2017,117,48,82,8,72,252,56,3,-9,67
337,2001,94,63,66,25,73,267,19,8,-5,73
338,1969,129,54,56,18,39,186,3,3,-10,82
339,1962,108,37,74,14,89,188,81,3,-10,57
340,1975,145,93,65,5,90,169,5,10,-6,75
341,2009,130,86,66,20,50,189,1,3,-5,63
342,2006,82,76,84,29,63,274,1,23,-5,68
343,2004,126,84,60,84,45,171,0,38,-7,72
344,1968,98,39,64,26,43,187,39,4,-12,54
345,1958,81,12,21,12,19,155,93,3,-17,35
346,1988,86,58,54,11,34,328,11,3,-5,75
347,1987,119,82,71,9,87,291,21,5,-9,80
348,2008,195,27,32,10,55,166,91,4,-10,41
349,1976,96,73,73,11,71,221,8,5,-5,57
350,1998,93,42,70,14,53,274,19,2,-9,65
351,2014,102,19,69,13,56,148,77,3,-17,31
352,1968,119,43,34,19,44,411,45,5,-17,38
353,1961,143,43,42,18,77,144,69,4,-10,47
354,2008,128,61,92,14,30,231,9,8,-6,79
355,1991,171,57,42,13,22,276,24,3,-5,69
356,1991,172,36,46,7,27,278,61,3,-13,56
357,2006,130,27,67,23,56,168,85,9,-11,51
358,1953,109,65,70,14,85,146,79,3,-2,26
359,2008,160,86,38,21,48,339,7,26,-3,74
360,1997,105,29,40,12,61,144,55,3,-11,56
361,1983,159,53,62,4,84,245,9,7,-12,73
362,1997,108,85,73,27,61,225,4,4,-4,73
363,2001,109,64,88,60,96,134,61,11,-9,31
364,1973,145,55,40,9,67,431,3,3,-10,67
365,2010,109,84,64,9,43,221,2,4,-5,77
366,1968,134,51,66,28,85,178,31,3,-7,72
367,2002,107,72,70,8,65,228,28,3,-6,61
368,2013,84,33,66,9,53,143,69,9,-16,36
369,2009,93,37,48,12,14,216,74,3,-8,75
370,1977,120,49,83,13,79,258,6,3,-10,79
371,1965,97,18,33,9,32,126,88,3,-12,78
372,1997,102,63,66,13,59,308,11,3,-9,68
373,1994,78,26,44,11,17,215,66,3,-11,65
374,2001,126,81,72,6,87,307,1,4,-6,68
375,1972,137,53,60,9,34,282,43,3,-9,81
376,1972,106,60,65,7,91,227,22,3,-13,75
377,1993,120,38,50,12,18,258,74,3,-9,71
378,1976,81,71,45,21,77,267,23,5,-10,74
379,2002,107,46,43,13,69,253,60,3,-7,53
380,1998,128,80,81,7,53,292,16,10,-7,64
381,1996,174,65,74,19,77,215,6,22,-9,55
382,1970,199,64,37,12,71,190,9,6,-12,64
383,2003,90,71,90,7,78,193,26,37,-3,77
384,2016,141,90,52,10,96,179,0,3,-4,66
385,1982,114,71,57,16,67,333,35,3,-9,62
386,1963,81,19,32,8,10,456,99,4,-17,41
387,1979,114,54,81,16,85,221,18,4,-13,72
388,2008,162,66,57,7,49,214,1,3,-5,70
389,1991,88,88,49,13,60,309,8,4,-6,57
390,1969,135,55,67,4,96,172,10,3,-13,41
391,1974,118,44,48,22,76,235,0,4,-15,68
392,1966,151,48,52,8,81,178,21,5,-11,62
393,2015,108,95,85,10,91,433,76,19,-4,50
394,1987,90,85,38,9,27,276,15,4,-6,58
395,1993,108,32,52,14,13,243,63,3,-10,63
396,2012,126,82,65,67,77,231,0,4,-4,74
397,1986,125,73,63,6,51,280,2,4,-11,71
398,2011,81,20,35,9,43,213,87,3,-13,36
399,2000,131,72,49,31,87,146,39,5,-6,74
400,2004,105,79,89,4,58,250,2,11,-5,79
401,2007,126,31,36,25,29,146,77,3,-11,34
402,1981,94,72,54,66,90,175,33,4,-5,72
403,2009,127,74,82,24,80,237,1,14,-6,60
404,2000,116,34,55,10,47,155,75,3,-9,72
405,1982,106,31,75,8,85,194,33,4,-17,65
406,2004,113,51,94,4,84,204,4,16,-11,74
407,2010,147,61,39,16,25,240,0,3,-8,53
408,1972,161,84,26,28,46,157,0,10,-7,56
409,1969,75,38,40,12,23,277,70,3,-7,72
410,1969,158,64,52,42,85,149,2,3,-9,52
411,1962,119,26,67,6,37,147,45,5,-14,76
412,2010,120,78,75,4,82,203,0,9,-4,77
413,2017,133,28,34,10,12,275,61,4,-10,57
414,2000,143,74,71,10,64,231,26,4,-8,65
415,1998,102,61,62,9,45,236,0,2,-7,68
416,1986,122,91,81,2,97,345,31,4,-9,63
417,1972,100,69,57,12,63,267,29,4,-11,52
418,1993,97,83,69,52,69,246,0,5,-4,70
419,2008,151,70,67,19,77,222,4,28,-9,73
420,1981,132,59,72,10,85,194,33,5,-14,64
421,2013,167,50,55,15,96,149,89,6,-15,33
422,2008,119,74,62,8,31,236,13,3,-4,73
423,2006,100,42,62,12,29,203,29,2,-7,61
424,1979,104,39,69,25,72,239,8,4,-16,72
425,1997,110,55,71,12,55,251,1,3,-9,73
426,2012,85,87,42,12,63,203,7,6,-4,78
427,1995,174,71,60,13,58,254,21,36,-8,73
428,2003,110,86,50,64,24,186,0,4,-4,81
429,1973,164,71,41,11,58,365,28,3,-5,65
430,1979,120,49,75,16,54,293,2,4,-10,74
431,2000,101,83,51,31,52,294,56,4,-9,54
432,2004,127,92,80,7,70,247,11,47,-3,64
433,2008,140,94,52,23,29,221,17,7,-5,57
434,1968,174,50,54,17,95,290,20,5,-11,55
435,2008,93,35,50,24,53,241,30,3,-10,46
436,1993,126,85,66,9,71,254,23,3,-12,60
437,2012,77,47,62,3,68,220,0,4,-7,75
438,1994,130,89,68,6,95,245,0,4,-8,65
439,1972,107,74,48,26,56,267,50,4,-5,60
440,1962,91,17,39,8,50,161,83,3,-15,48
441,2009,139,70,72,9,24,224,7,6,-5,74
442,1983,110,59,92,9,83,184,20,6,-11,81
443,1996,141,85,85,11,96,199,3,4,-8,43
444,1990,128,80,58,3,69,241,0,3,-12,61
445,1964,124,95,56,6,89,131,5,4,-7,56
446,2010,126,72,79,7,61,235,13,4,-4,72
447,2003,121,53,50,7,61,182,76,4,-8,45
448,2017,130,66,51,11,75,161,23,6,-10,37
449,1959,80,22,18,10,16,214,92,4,-17,45
450,2010,148,81,53,23,96,147,50,3,-13,50
451,2002,168,55,73,20,61,289,23,14,-8,77
452,2000,165,87,64,6,88,191,5,8,-5,62
453,2002,105,73,68,14,94,281,11,2,-8,59
